SID,Age,Sex,Language,Location,Experimenter,In_full_datatset,Knower_level,Task_item,Response,Correct,Notes
022619-D,2.650239562,F,English,Beaufort,RMS,1,3,1,2,1,gave answers right away
022619-D,2.650239562,F,English,Beaufort,RMS,1,3,3,2,0,gave answers right away
022619-D,2.650239562,F,English,Beaufort,RMS,1,3,2,3,1,gave answers right away
022619-D,2.650239562,F,English,Beaufort,RMS,1,3,4,5,1,gave answers right away
022619-D,2.650239562,F,English,Beaufort,RMS,1,3,5,6,1,gave answers right away
022619-D,2.650239562,F,English,Beaufort,RMS,1,3,3,4,1,gave answers right away
022619-D,2.650239562,F,English,Beaufort,RMS,1,3,4,6,0,gave answers right away
022619-D,2.650239562,F,English,Beaufort,RMS,1,3,2,3,1,gave answers right away
022619-D,2.650239562,F,English,Beaufort,RMS,1,3,5,4,0,gave answers right away
022619-D,2.650239562,F,English,Beaufort,RMS,1,3,1,3,0,gave answers right away
022619-E,2.428473648,M,English,Beaufort,RMS,0,1,1,2,1,"did not underestand task, I couldn't understand what they said"
022619-E,2.428473648,M,English,Beaufort,RMS,0,1,2,2,0,
022619-E,2.428473648,M,English,Beaufort,RMS,0,1,3,3,0,
022619-E,2.428473648,M,English,Beaufort,RMS,0,1,4,5,1,
022619-E,2.428473648,M,English,Beaufort,RMS,0,1,5,6,1,
022619-E,2.428473648,M,English,Beaufort,RMS,0,1,NA,NA,NA,
022619-E,2.428473648,M,English,Beaufort,RMS,0,1,NA,NA,NA,
022619-E,2.428473648,M,English,Beaufort,RMS,0,1,NA,NA,NA,
022619-E,2.428473648,M,English,Beaufort,RMS,0,1,NA,NA,NA,
022619-E,2.428473648,M,English,Beaufort,RMS,0,1,NA,NA,NA,
022719-JM,3.23613963,M,English,Beaufort,RMS,1,2,1,2,1,
022719-JM,3.23613963,M,English,Beaufort,RMS,1,2,4,5,1,
022719-JM,3.23613963,M,English,Beaufort,RMS,1,2,3,5,0,
022719-JM,3.23613963,M,English,Beaufort,RMS,1,2,2,5,0,
022719-JM,3.23613963,M,English,Beaufort,RMS,1,2,5,6,1,
022719-JM,3.23613963,M,English,Beaufort,RMS,1,2,3,4,1,
022719-JM,3.23613963,M,English,Beaufort,RMS,1,2,2,3,1,
022719-JM,3.23613963,M,English,Beaufort,RMS,1,2,5,4,0,
022719-JM,3.23613963,M,English,Beaufort,RMS,1,2,1,4,0,
022719-JM,3.23613963,M,English,Beaufort,RMS,1,2,4,5,1,
022719-CH,3.455167693,F,English,Beaufort,RMS,1,3,1,2,1,
022719-CH,3.455167693,F,English,Beaufort,RMS,1,3,3,4,1,
022719-CH,3.455167693,F,English,Beaufort,RMS,1,3,2,8,0,
022719-CH,3.455167693,F,English,Beaufort,RMS,1,3,4,6,0,
022719-CH,3.455167693,F,English,Beaufort,RMS,1,3,5,5,0,
022719-CH,3.455167693,F,English,Beaufort,RMS,1,3,3,8,0,
022719-CH,3.455167693,F,English,Beaufort,RMS,1,3,2,3,1,
022719-CH,3.455167693,F,English,Beaufort,RMS,1,3,4,5,1,
022719-CH,3.455167693,F,English,Beaufort,RMS,1,3,1,2,1,
022719-CH,3.455167693,F,English,Beaufort,RMS,1,3,5,6,1,
022719-SW,3.564681725,M,English,Beaufort,RMS,1,2,1,2,1,
022719-SW,3.564681725,M,English,Beaufort,RMS,1,2,2,3,1,
022719-SW,3.564681725,M,English,Beaufort,RMS,1,2,4,3,0,
